stock_code,year,industry,roa,revenue_growth,ln_size,leverage,firm_age,source_note
DEMO001,2020,信息技术,0.0241,0.1462,23.817,0.3669,18,脚本生成演示财务数据，仅用于方法演示
DEMO001,2021,信息技术,0.0361,0.1563,24.042,0.3259,19,脚本生成演示财务数据，仅用于方法演示
DEMO001,2022,信息技术,0.0486,0.1211,23.95,0.3229,20,脚本生成演示财务数据，仅用于方法演示
DEMO001,2023,信息技术,0.0544,0.0888,24.096,0.4286,21,脚本生成演示财务数据，仅用于方法演示
DEMO001,2024,信息技术,0.0291,0.1195,24.186,0.2979,22,脚本生成演示财务数据，仅用于方法演示
DEMO002,2020,制造业,0.0469,0.1054,21.451,0.2671,6,脚本生成演示财务数据，仅用于方法演示
DEMO002,2021,制造业,0.0566,0.007,21.37,0.3095,7,脚本生成演示财务数据，仅用于方法演示
DEMO002,2022,制造业,0.0315,0.0119,21.422,0.3758,8,脚本生成演示财务数据，仅用于方法演示
DEMO002,2023,制造业,0.0485,0.1761,21.541,0.3109,9,脚本生成演示财务数据，仅用于方法演示
DEMO002,2024,制造业,0.0634,0.0954,21.606,0.3526,10,脚本生成演示财务数据，仅用于方法演示
DEMO003,2020,批发零售,0.0413,0.1039,23.454,0.2318,5,脚本生成演示财务数据，仅用于方法演示
DEMO003,2021,批发零售,0.073,0.0284,23.512,0.2768,6,脚本生成演示财务数据，仅用于方法演示
DEMO003,2022,批发零售,0.0471,0.266,23.534,0.2865,7,脚本生成演示财务数据，仅用于方法演示
DEMO003,2023,批发零售,0.0644,0.086,23.66,0.2459,8,脚本生成演示财务数据，仅用于方法演示
DEMO003,2024,批发零售,0.0433,0.1106,23.635,0.2516,9,脚本生成演示财务数据，仅用于方法演示
DEMO004,2020,房地产,-0.0085,0.0602,24.31,0.4221,19,脚本生成演示财务数据，仅用于方法演示
DEMO004,2021,房地产,0.0343,0.056,24.315,0.5163,20,脚本生成演示财务数据，仅用于方法演示
DEMO004,2022,房地产,0.0022,0.209,24.288,0.4993,21,脚本生成演示财务数据，仅用于方法演示
DEMO004,2023,房地产,0.0364,0.071,24.375,0.5101,22,脚本生成演示财务数据，仅用于方法演示
DEMO004,2024,房地产,0.0327,0.0915,24.414,0.4522,23,脚本生成演示财务数据，仅用于方法演示
DEMO005,2020,农林牧渔,-0.0291,0.0006,22.449,0.2286,11,脚本生成演示财务数据，仅用于方法演示
DEMO005,2021,农林牧渔,0.0082,0.1331,22.515,0.2207,12,脚本生成演示财务数据，仅用于方法演示
DEMO005,2022,农林牧渔,0.0527,-0.0052,22.691,0.1944,13,脚本生成演示财务数据，仅用于方法演示
DEMO005,2023,农林牧渔,0.0621,0.0145,22.67,0.2432,14,脚本生成演示财务数据，仅用于方法演示
DEMO005,2024,农林牧渔,-0.0032,0.0298,22.622,0.2726,15,脚本生成演示财务数据，仅用于方法演示
DEMO006,2020,信息技术,0.0361,0.1868,22.675,0.3089,19,脚本生成演示财务数据，仅用于方法演示
DEMO006,2021,信息技术,0.0188,0.1191,22.672,0.2563,20,脚本生成演示财务数据，仅用于方法演示
DEMO006,2022,信息技术,0.0069,0.0568,22.71,0.2774,21,脚本生成演示财务数据，仅用于方法演示
DEMO006,2023,信息技术,0.0811,0.0183,22.713,0.2709,22,脚本生成演示财务数据，仅用于方法演示
DEMO006,2024,信息技术,0.0904,0.1051,22.792,0.3179,23,脚本生成演示财务数据，仅用于方法演示
DEMO007,2020,制造业,0.0305,0.067,24.343,0.5282,10,脚本生成演示财务数据，仅用于方法演示
DEMO007,2021,制造业,0.0397,0.1527,24.496,0.5685,11,脚本生成演示财务数据，仅用于方法演示
DEMO007,2022,制造业,0.0275,0.1909,24.484,0.5501,12,脚本生成演示财务数据，仅用于方法演示
DEMO007,2023,制造业,0.0174,0.2542,24.456,0.5205,13,脚本生成演示财务数据，仅用于方法演示
DEMO007,2024,制造业,0.0414,0.2049,24.521,0.5349,14,脚本生成演示财务数据，仅用于方法演示
DEMO008,2020,批发零售,-0.0146,0.1623,21.887,0.4117,5,脚本生成演示财务数据，仅用于方法演示
