stock_code,firm_name,industry,year,cnt_人工智能,cnt_大数据,cnt_云计算,cnt_区块链,cnt_数字技术应用,digital_total,n_tokens,digital_ratio,Digital
DEMO001,演示DEMO001股份有限公司,信息技术,2020,1,3,2,1,2,9,211,0.04265402843601896,2.302585092994046
DEMO001,演示DEMO001股份有限公司,信息技术,2021,4,2,0,6,2,14,198,0.0707070707070707,2.70805020110221
DEMO001,演示DEMO001股份有限公司,信息技术,2022,5,2,2,6,5,20,266,0.07518796992481203,3.044522437723423
DEMO001,演示DEMO001股份有限公司,信息技术,2023,5,3,3,3,4,18,288,0.0625,2.9444389791664403
DEMO001,演示DEMO001股份有限公司,信息技术,2024,3,4,0,6,3,16,312,0.05128205128205128,2.833213344056216
DEMO002,演示DEMO002股份有限公司,制造业,2020,1,0,0,1,1,3,107,0.028037383177570093,1.3862943611198906
DEMO002,演示DEMO002股份有限公司,制造业,2021,2,3,0,4,1,10,188,0.05319148936170213,2.3978952727983707
DEMO002,演示DEMO002股份有限公司,制造业,2022,2,0,0,1,3,6,167,0.03592814371257485,1.9459101490553132
DEMO002,演示DEMO002股份有限公司,制造业,2023,5,2,0,3,1,11,211,0.052132701421800945,2.4849066497880004
DEMO002,演示DEMO002股份有限公司,制造业,2024,6,5,2,0,0,13,230,0.05652173913043478,2.6390573296152584
DEMO003,演示DEMO003股份有限公司,批发零售,2020,1,1,0,0,1,3,134,0.022388059701492536,1.3862943611198906
DEMO003,演示DEMO003股份有限公司,批发零售,2021,0,1,0,1,0,2,113,0.017699115044247787,1.0986122886681098
DEMO003,演示DEMO003股份有限公司,批发零售,2022,2,2,1,0,0,5,174,0.028735632183908046,1.791759469228055
DEMO003,演示DEMO003股份有限公司,批发零售,2023,4,1,0,4,1,10,213,0.046948356807511735,2.3978952727983707
DEMO003,演示DEMO003股份有限公司,批发零售,2024,1,1,0,3,1,6,129,0.046511627906976744,1.9459101490553132
DEMO004,演示DEMO004股份有限公司,房地产,2020,0,1,1,0,0,2,114,0.017543859649122806,1.0986122886681098
DEMO004,演示DEMO004股份有限公司,房地产,2021,4,0,0,2,2,8,192,0.041666666666666664,2.1972245773362196
DEMO004,演示DEMO004股份有限公司,房地产,2022,4,0,0,0,0,4,149,0.026845637583892617,1.6094379124341003
DEMO004,演示DEMO004股份有限公司,房地产,2023,0,1,1,2,4,8,186,0.043010752688172046,2.1972245773362196
DEMO004,演示DEMO004股份有限公司,房地产,2024,0,2,1,3,2,8,200,0.04,2.1972245773362196
DEMO005,演示DEMO005股份有限公司,农林牧渔,2020,1,0,0,0,2,3,109,0.027522935779816515,1.3862943611198906
DEMO005,演示DEMO005股份有限公司,农林牧渔,2021,0,0,0,0,0,0,110,0.0,0.0
DEMO005,演示DEMO005股份有限公司,农林牧渔,2022,0,2,0,0,0,2,101,0.019801980198019802,1.0986122886681098
DEMO005,演示DEMO005股份有限公司,农林牧渔,2023,0,1,0,0,0,1,112,0.008928571428571428,0.6931471805599453
DEMO005,演示DEMO005股份有限公司,农林牧渔,2024,0,0,0,0,2,2,110,0.01818181818181818,1.0986122886681098
DEMO006,演示DEMO006股份有限公司,信息技术,2020,1,2,1,4,1,9,228,0.039473684210526314,2.302585092994046
DEMO006,演示DEMO006股份有限公司,信息技术,2021,1,1,2,3,4,11,243,0.04526748971193416,2.4849066497880004
DEMO006,演示DEMO006股份有限公司,信息技术,2022,6,3,5,1,6,21,290,0.07241379310344828,3.091042453358316
DEMO006,演示DEMO006股份有限公司,信息技术,2023,6,1,2,6,2,17,319,0.05329153605015674,2.8903717578961645
DEMO006,演示DEMO006股份有限公司,信息技术,2024,3,6,0,2,2,13,230,0.05652173913043478,2.6390573296152584
DEMO007,演示DEMO007股份有限公司,制造业,2020,0,2,2,5,2,11,212,0.05188679245283019,2.4849066497880004
DEMO007,演示DEMO007股份有限公司,制造业,2021,5,0,1,3,7,16,218,0.07339449541284404,2.833213344056216
DEMO007,演示DEMO007股份有限公司,制造业,2022,1,1,1,5,5,13,214,0.06074766355140187,2.6390573296152584
DEMO007,演示DEMO007股份有限公司,制造业,2023,3,2,2,3,2,12,240,0.05,2.5649493574615367
DEMO007,演示DEMO007股份有限公司,制造业,2024,2,1,3,6,5,17,265,0.06415094339622641,2.8903717578961645
DEMO008,演示DEMO008股份有限公司,批发零售,2020,0,0,1,0,1,2,113,0.017699115044247787,1.0986122886681098
DEMO008,演示DEMO008股份有限公司,批发零售,2021,1,1,0,2,1,5,144,0.034722222222222224,1.791759469228055
DEMO008,演示DEMO008股份有限公司,批发零售,2022,4,1,1,0,3,9,186,0.04838709677419355,2.302585092994046
DEMO008,演示DEMO008股份有限公司,批发零售,2023,1,0,0,0,4,5,161,0.031055900621118012,1.791759469228055
DEMO008,演示DEMO008股份有限公司,批发零售,2024,4,4,1,4,1,14,263,0.053231939163498096,2.70805020110221
DEMO009,演示DEMO009股份有限公司,房地产,2020,0,1,0,0,1,2,139,0.014388489208633094,1.0986122886681098
DEMO009,演示DEMO009股份有限公司,房地产,2021,1,0,0,0,1,2,89,0.02247191011235955,1.0986122886681098
DEMO009,演示DEMO009股份有限公司,房地产,2022,0,1,0,2,2,5,140,0.03571428571428571,1.791759469228055
DEMO009,演示DEMO009股份有限公司,房地产,2023,0,1,2,0,0,3,165,0.01818181818181818,1.3862943611198906
DEMO009,演示DEMO009股份有限公司,房地产,2024,1,2,0,0,1,4,131,0.030534351145038167,1.6094379124341003
DEMO010,演示DEMO010股份有限公司,农林牧渔,2020,0,1,0,0,1,2,118,0.01694915254237288,1.0986122886681098
DEMO010,演示DEMO010股份有限公司,农林牧渔,2021,1,0,0,0,0,1,117,0.008547008547008548,0.6931471805599453
DEMO010,演示DEMO010股份有限公司,农林牧渔,2022,0,0,1,1,0,2,102,0.0196078431372549,1.0986122886681098
DEMO010,演示DEMO010股份有限公司,农林牧渔,2023,0,2,2,0,2,6,130,0.046153846153846156,1.9459101490553132
DEMO010,演示DEMO010股份有限公司,农林牧渔,2024,0,3,0,2,2,7,159,0.0440251572327044,2.0794415416798357
DEMO011,演示DEMO011股份有限公司,信息技术,2020,2,2,1,4,1,10,173,0.057803468208092484,2.3978952727983707
DEMO011,演示DEMO011股份有限公司,信息技术,2021,2,2,1,3,1,9,213,0.04225352112676056,2.302585092994046
DEMO011,演示DEMO011股份有限公司,信息技术,2022,3,3,0,1,7,14,225,0.06222222222222222,2.70805020110221
DEMO011,演示DEMO011股份有限公司,信息技术,2023,4,1,1,2,0,8,201,0.03980099502487562,2.1972245773362196
DEMO011,演示DEMO011股份有限公司,信息技术,2024,2,2,2,1,1,8,195,0.041025641025641026,2.1972245773362196
DEMO012,演示DEMO012股份有限公司,制造业,2020,0,0,1,2,0,3,115,0.02608695652173913,1.3862943611198906
DEMO012,演示DEMO012股份有限公司,制造业,2021,2,1,0,2,3,8,161,0.049689440993788817,2.1972245773362196
DEMO012,演示DEMO012股份有限公司,制造业,2022,0,1,1,3,1,6,147,0.04081632653061224,1.9459101490553132
DEMO012,演示DEMO012股份有限公司,制造业,2023,2,1,0,0,4,7,161,0.043478260869565216,2.0794415416798357
DEMO012,演示DEMO012股份有限公司,制造业,2024,2,4,1,1,1,9,198,0.045454545454545456,2.302585092994046
DEMO013,演示DEMO013股份有限公司,批发零售,2020,1,1,0,3,0,5,159,0.031446540880503145,1.791759469228055
DEMO013,演示DEMO013股份有限公司,批发零售,2021,0,1,0,1,0,2,151,0.013245033112582781,1.0986122886681098
DEMO013,演示DEMO013股份有限公司,批发零售,2022,3,0,1,2,1,7,171,0.04093567251461988,2.0794415416798357
DEMO013,演示DEMO013股份有限公司,批发零售,2023,1,1,1,1,2,6,184,0.03260869565217391,1.9459101490553132
DEMO013,演示DEMO013股份有限公司,批发零售,2024,3,0,0,6,1,10,174,0.05747126436781609,2.3978952727983707
DEMO014,演示DEMO014股份有限公司,房地产,2020,0,0,0,0,0,0,66,0.0,0.0
DEMO014,演示DEMO014股份有限公司,房地产,2021,0,1,0,0,0,1,112,0.008928571428571428,0.6931471805599453
DEMO014,演示DEMO014股份有限公司,房地产,2022,0,1,0,0,1,2,87,0.022988505747126436,1.0986122886681098
DEMO014,演示DEMO014股份有限公司,房地产,2023,1,2,0,0,0,3,153,0.0196078431372549,1.3862943611198906
DEMO014,演示DEMO014股份有限公司,房地产,2024,2,0,0,1,0,3,122,0.02459016393442623,1.3862943611198906
DEMO015,演示DEMO015股份有限公司,农林牧渔,2020,0,0,0,0,0,0,104,0.0,0.0
DEMO015,演示DEMO015股份有限公司,农林牧渔,2021,0,1,0,0,0,1,84,0.011904761904761904,0.6931471805599453
DEMO015,演示DEMO015股份有限公司,农林牧渔,2022,1,0,0,2,0,3,89,0.033707865168539325,1.3862943611198906
DEMO015,演示DEMO015股份有限公司,农林牧渔,2023,0,0,0,0,0,0,118,0.0,0.0
DEMO015,演示DEMO015股份有限公司,农林牧渔,2024,0,0,0,0,1,1,129,0.007751937984496124,0.6931471805599453
DEMO016,演示DEMO016股份有限公司,信息技术,2020,0,5,1,2,1,9,213,0.04225352112676056,2.302585092994046
DEMO016,演示DEMO016股份有限公司,信息技术,2021,6,2,1,2,4,15,234,0.0641025641025641,2.772588722239781
DEMO016,演示DEMO016股份有限公司,信息技术,2022,6,3,1,4,3,17,245,0.06938775510204082,2.8903717578961645
DEMO016,演示DEMO016股份有限公司,信息技术,2023,6,6,0,3,6,21,294,0.07142857142857142,3.091042453358316
DEMO016,演示DEMO016股份有限公司,信息技术,2024,0,0,0,3,4,7,200,0.035,2.0794415416798357
DEMO017,演示DEMO017股份有限公司,制造业,2020,2,1,0,2,0,5,143,0.03496503496503497,1.791759469228055
DEMO017,演示DEMO017股份有限公司,制造业,2021,0,1,0,0,0,1,107,0.009345794392523364,0.6931471805599453
DEMO017,演示DEMO017股份有限公司,制造业,2022,1,3,2,1,0,7,174,0.040229885057471264,2.0794415416798357
DEMO017,演示DEMO017股份有限公司,制造业,2023,3,0,0,2,1,6,154,0.03896103896103896,1.9459101490553132
DEMO017,演示DEMO017股份有限公司,制造业,2024,2,1,0,0,2,5,133,0.03759398496240601,1.791759469228055
DEMO018,演示DEMO018股份有限公司,批发零售,2020,0,3,0,0,1,4,154,0.025974025974025976,1.6094379124341003
DEMO018,演示DEMO018股份有限公司,批发零售,2021,2,1,0,1,1,5,144,0.034722222222222224,1.791759469228055
DEMO018,演示DEMO018股份有限公司,批发零售,2022,0,0,1,0,0,1,118,0.00847457627118644,0.6931471805599453
DEMO018,演示DEMO018股份有限公司,批发零售,2023,0,2,1,5,0,8,174,0.04597701149425287,2.1972245773362196
DEMO018,演示DEMO018股份有限公司,批发零售,2024,3,2,0,1,1,7,151,0.046357615894039736,2.0794415416798357
DEMO019,演示DEMO019股份有限公司,房地产,2020,1,0,0,0,1,2,120,0.016666666666666666,1.0986122886681098
DEMO019,演示DEMO019股份有限公司,房地产,2021,0,1,0,0,0,1,112,0.008928571428571428,0.6931471805599453
DEMO019,演示DEMO019股份有限公司,房地产,2022,0,0,0,2,0,2,111,0.018018018018018018,1.0986122886681098
DEMO019,演示DEMO019股份有限公司,房地产,2023,0,0,1,1,0,2,103,0.019417475728155338,1.0986122886681098
DEMO019,演示DEMO019股份有限公司,房地产,2024,1,2,0,1,0,4,115,0.034782608695652174,1.6094379124341003
DEMO020,演示DEMO020股份有限公司,农林牧渔,2020,0,0,0,0,0,0,98,0.0,0.0
DEMO020,演示DEMO020股份有限公司,农林牧渔,2021,1,0,0,0,0,1,113,0.008849557522123894,0.6931471805599453
DEMO020,演示DEMO020股份有限公司,农林牧渔,2022,0,1,0,0,0,1,100,0.01,0.6931471805599453
DEMO020,演示DEMO020股份有限公司,农林牧渔,2023,0,0,1,0,0,1,105,0.009523809523809525,0.6931471805599453
DEMO020,演示DEMO020股份有限公司,农林牧渔,2024,0,0,0,0,0,0,102,0.0,0.0
DEMO021,演示DEMO021股份有限公司,信息技术,2020,5,4,3,2,2,16,265,0.06037735849056604,2.833213344056216
DEMO021,演示DEMO021股份有限公司,信息技术,2021,6,2,2,5,5,20,321,0.06230529595015576,3.044522437723423
DEMO021,演示DEMO021股份有限公司,信息技术,2022,6,4,1,6,6,23,366,0.06284153005464481,3.1780538303479458
DEMO021,演示DEMO021股份有限公司,信息技术,2023,6,5,4,4,5,24,314,0.07643312101910828,3.2188758248682006
DEMO021,演示DEMO021股份有限公司,信息技术,2024,6,5,0,6,6,23,321,0.07165109034267912,3.1780538303479458
DEMO022,演示DEMO022股份有限公司,制造业,2020,2,0,0,3,4,9,171,0.05263157894736842,2.302585092994046
DEMO022,演示DEMO022股份有限公司,制造业,2021,1,2,0,2,0,5,166,0.030120481927710843,1.791759469228055
DEMO022,演示DEMO022股份有限公司,制造业,2022,3,1,2,1,1,8,180,0.044444444444444446,2.1972245773362196
DEMO022,演示DEMO022股份有限公司,制造业,2023,2,2,0,2,2,8,158,0.05063291139240506,2.1972245773362196
DEMO022,演示DEMO022股份有限公司,制造业,2024,1,2,0,4,1,8,190,0.042105263157894736,2.1972245773362196
DEMO023,演示DEMO023股份有限公司,批发零售,2020,2,0,0,2,5,9,158,0.056962025316455694,2.302585092994046
DEMO023,演示DEMO023股份有限公司,批发零售,2021,0,0,2,2,0,4,136,0.029411764705882353,1.6094379124341003
DEMO023,演示DEMO023股份有限公司,批发零售,2022,3,0,1,0,2,6,147,0.04081632653061224,1.9459101490553132
DEMO023,演示DEMO023股份有限公司,批发零售,2023,2,1,0,6,0,9,225,0.04,2.302585092994046
DEMO023,演示DEMO023股份有限公司,批发零售,2024,1,1,1,4,0,7,186,0.03763440860215054,2.0794415416798357
DEMO024,演示DEMO024股份有限公司,房地产,2020,0,0,0,0,0,0,86,0.0,0.0
DEMO024,演示DEMO024股份有限公司,房地产,2021,0,0,0,1,0,1,132,0.007575757575757576,0.6931471805599453
DEMO024,演示DEMO024股份有限公司,房地产,2022,0,0,0,0,0,0,66,0.0,0.0
DEMO024,演示DEMO024股份有限公司,房地产,2023,0,0,0,1,0,1,107,0.009345794392523364,0.6931471805599453
DEMO024,演示DEMO024股份有限公司,房地产,2024,1,1,0,0,0,2,108,0.018518518518518517,1.0986122886681098
DEMO025,演示DEMO025股份有限公司,农林牧渔,2020,0,0,0,0,0,0,89,0.0,0.0
DEMO025,演示DEMO025股份有限公司,农林牧渔,2021,0,0,0,0,0,0,104,0.0,0.0
DEMO025,演示DEMO025股份有限公司,农林牧渔,2022,0,1,0,0,0,1,109,0.009174311926605505,0.6931471805599453
DEMO025,演示DEMO025股份有限公司,农林牧渔,2023,2,0,0,0,0,2,108,0.018518518518518517,1.0986122886681098
DEMO025,演示DEMO025股份有限公司,农林牧渔,2024,0,0,0,0,0,0,105,0.0,0.0
DEMO026,演示DEMO026股份有限公司,信息技术,2020,5,3,0,4,8,20,263,0.07604562737642585,3.044522437723423
DEMO026,演示DEMO026股份有限公司,信息技术,2021,6,4,1,0,0,11,209,0.05263157894736842,2.4849066497880004
DEMO026,演示DEMO026股份有限公司,信息技术,2022,6,4,0,2,2,14,221,0.06334841628959276,2.70805020110221
DEMO026,演示DEMO026股份有限公司,信息技术,2023,5,6,2,5,6,24,318,0.07547169811320754,3.2188758248682006
DEMO026,演示DEMO026股份有限公司,信息技术,2024,6,1,2,6,4,19,278,0.0683453237410072,2.995732273553991
DEMO027,演示DEMO027股份有限公司,制造业,2020,1,0,0,2,0,3,138,0.021739130434782608,1.3862943611198906
DEMO027,演示DEMO027股份有限公司,制造业,2021,1,0,0,1,1,3,125,0.024,1.3862943611198906
DEMO027,演示DEMO027股份有限公司,制造业,2022,0,2,1,1,1,5,169,0.029585798816568046,1.791759469228055
DEMO027,演示DEMO027股份有限公司,制造业,2023,1,1,1,1,1,5,153,0.032679738562091505,1.791759469228055
DEMO027,演示DEMO027股份有限公司,制造业,2024,1,1,1,0,3,6,164,0.036585365853658534,1.9459101490553132
DEMO028,演示DEMO028股份有限公司,批发零售,2020,2,0,0,0,0,2,145,0.013793103448275862,1.0986122886681098
DEMO028,演示DEMO028股份有限公司,批发零售,2021,3,0,0,0,3,6,159,0.03773584905660377,1.9459101490553132
DEMO028,演示DEMO028股份有限公司,批发零售,2022,1,1,0,1,3,6,147,0.04081632653061224,1.9459101490553132
DEMO028,演示DEMO028股份有限公司,批发零售,2023,3,3,0,1,3,10,192,0.052083333333333336,2.3978952727983707
DEMO028,演示DEMO028股份有限公司,批发零售,2024,1,3,0,1,2,7,176,0.03977272727272727,2.0794415416798357
DEMO029,演示DEMO029股份有限公司,房地产,2020,0,1,1,0,0,2,98,0.02040816326530612,1.0986122886681098
DEMO029,演示DEMO029股份有限公司,房地产,2021,0,1,1,0,0,2,125,0.016,1.0986122886681098
DEMO029,演示DEMO029股份有限公司,房地产,2022,2,0,0,0,3,5,160,0.03125,1.791759469228055
DEMO029,演示DEMO029股份有限公司,房地产,2023,0,0,0,1,0,1,125,0.008,0.6931471805599453
DEMO029,演示DEMO029股份有限公司,房地产,2024,0,0,0,0,1,1,117,0.008547008547008548,0.6931471805599453
DEMO030,演示DEMO030股份有限公司,农林牧渔,2020,0,0,0,0,0,0,123,0.0,0.0
DEMO030,演示DEMO030股份有限公司,农林牧渔,2021,0,0,0,0,0,0,121,0.0,0.0
DEMO030,演示DEMO030股份有限公司,农林牧渔,2022,2,0,0,0,0,2,146,0.0136986301369863,1.0986122886681098
DEMO030,演示DEMO030股份有限公司,农林牧渔,2023,0,0,0,0,1,1,126,0.007936507936507936,0.6931471805599453
DEMO030,演示DEMO030股份有限公司,农林牧渔,2024,0,0,0,0,0,0,86,0.0,0.0
DEMO031,演示DEMO031股份有限公司,信息技术,2020,3,2,0,4,5,14,242,0.05785123966942149,2.70805020110221
DEMO031,演示DEMO031股份有限公司,信息技术,2021,3,3,2,2,1,11,217,0.05069124423963134,2.4849066497880004
DEMO031,演示DEMO031股份有限公司,信息技术,2022,3,2,1,4,0,10,200,0.05,2.3978952727983707
DEMO031,演示DEMO031股份有限公司,信息技术,2023,4,5,2,3,2,16,264,0.06060606060606061,2.833213344056216
DEMO031,演示DEMO031股份有限公司,信息技术,2024,6,4,1,2,5,18,306,0.058823529411764705,2.9444389791664403
DEMO032,演示DEMO032股份有限公司,制造业,2020,4,3,2,6,5,20,274,0.072992700729927,3.044522437723423
