stock_code,firm_name,industry,year,report_type,text_len,source_note
DEMO001,演示DEMO001股份有限公司,信息技术,2020,年度报告,708,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2021,年度报告,687,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2022,年度报告,898,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2023,年度报告,971,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2024,年度报告,988,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2020,年度报告,406,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2021,年度报告,622,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2022,年度报告,601,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2023,年度报告,739,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2024,年度报告,764,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO003,演示DEMO003股份有限公司,批发零售,2020,年度报告,472,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO003,演示DEMO003股份有限公司,批发零售,2021,年度报告,399,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO003,演示DEMO003股份有限公司,批发零售,2022,年度报告,608,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO003,演示DEMO003股份有限公司,批发零售,2023,年度报告,714,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO003,演示DEMO003股份有限公司,批发零售,2024,年度报告,443,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO004,演示DEMO004股份有限公司,房地产,2020,年度报告,386,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO004,演示DEMO004股份有限公司,房地产,2021,年度报告,660,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO004,演示DEMO004股份有限公司,房地产,2022,年度报告,511,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO004,演示DEMO004股份有限公司,房地产,2023,年度报告,614,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO004,演示DEMO004股份有限公司,房地产,2024,年度报告,701,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO005,演示DEMO005股份有限公司,农林牧渔,2020,年度报告,399,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO005,演示DEMO005股份有限公司,农林牧渔,2021,年度报告,353,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO005,演示DEMO005股份有限公司,农林牧渔,2022,年度报告,367,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO005,演示DEMO005股份有限公司,农林牧渔,2023,年度报告,429,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO005,演示DEMO005股份有限公司,农林牧渔,2024,年度报告,436,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO006,演示DEMO006股份有限公司,信息技术,2020,年度报告,796,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO006,演示DEMO006股份有限公司,信息技术,2021,年度报告,807,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO006,演示DEMO006股份有限公司,信息技术,2022,年度报告,1005,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO006,演示DEMO006股份有限公司,信息技术,2023,年度报告,1031,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO006,演示DEMO006股份有限公司,信息技术,2024,年度报告,770,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO007,演示DEMO007股份有限公司,制造业,2020,年度报告,699,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO007,演示DEMO007股份有限公司,制造业,2021,年度报告,761,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO007,演示DEMO007股份有限公司,制造业,2022,年度报告,727,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO007,演示DEMO007股份有限公司,制造业,2023,年度报告,821,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO007,演示DEMO007股份有限公司,制造业,2024,年度报告,914,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO008,演示DEMO008股份有限公司,批发零售,2020,年度报告,432,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO008,演示DEMO008股份有限公司,批发零售,2021,年度报告,529,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO008,演示DEMO008股份有限公司,批发零售,2022,年度报告,665,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO008,演示DEMO008股份有限公司,批发零售,2023,年度报告,597,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO008,演示DEMO008股份有限公司,批发零售,2024,年度报告,869,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO009,演示DEMO009股份有限公司,房地产,2020,年度报告,462,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO009,演示DEMO009股份有限公司,房地产,2021,年度报告,364,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO009,演示DEMO009股份有限公司,房地产,2022,年度报告,494,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO009,演示DEMO009股份有限公司,房地产,2023,年度报告,604,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO009,演示DEMO009股份有限公司,房地产,2024,年度报告,439,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO010,演示DEMO010股份有限公司,农林牧渔,2020,年度报告,401,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO010,演示DEMO010股份有限公司,农林牧渔,2021,年度报告,454,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO010,演示DEMO010股份有限公司,农林牧渔,2022,年度报告,422,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO010,演示DEMO010股份有限公司,农林牧渔,2023,年度报告,502,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO010,演示DEMO010股份有限公司,农林牧渔,2024,年度报告,586,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO011,演示DEMO011股份有限公司,信息技术,2020,年度报告,587,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO011,演示DEMO011股份有限公司,信息技术,2021,年度报告,734,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO011,演示DEMO011股份有限公司,信息技术,2022,年度报告,766,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO011,演示DEMO011股份有限公司,信息技术,2023,年度报告,710,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO011,演示DEMO011股份有限公司,信息技术,2024,年度报告,650,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO012,演示DEMO012股份有限公司,制造业,2020,年度报告,444,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO012,演示DEMO012股份有限公司,制造业,2021,年度报告,612,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO012,演示DEMO012股份有限公司,制造业,2022,年度报告,501,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO012,演示DEMO012股份有限公司,制造业,2023,年度报告,568,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO012,演示DEMO012股份有限公司,制造业,2024,年度报告,680,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO013,演示DEMO013股份有限公司,批发零售,2020,年度报告,561,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO013,演示DEMO013股份有限公司,批发零售,2021,年度报告,551,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO013,演示DEMO013股份有限公司,批发零售,2022,年度报告,619,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO013,演示DEMO013股份有限公司,批发零售,2023,年度报告,605,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO013,演示DEMO013股份有限公司,批发零售,2024,年度报告,595,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO014,演示DEMO014股份有限公司,房地产,2020,年度报告,317,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO014,演示DEMO014股份有限公司,房地产,2021,年度报告,388,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO014,演示DEMO014股份有限公司,房地产,2022,年度报告,331,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO014,演示DEMO014股份有限公司,房地产,2023,年度报告,564,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO014,演示DEMO014股份有限公司,房地产,2024,年度报告,444,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO015,演示DEMO015股份有限公司,农林牧渔,2020,年度报告,361,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO015,演示DEMO015股份有限公司,农林牧渔,2021,年度报告,297,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO015,演示DEMO015股份有限公司,农林牧渔,2022,年度报告,371,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO015,演示DEMO015股份有限公司,农林牧渔,2023,年度报告,429,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO015,演示DEMO015股份有限公司,农林牧渔,2024,年度报告,449,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO016,演示DEMO016股份有限公司,信息技术,2020,年度报告,689,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO016,演示DEMO016股份有限公司,信息技术,2021,年度报告,783,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO016,演示DEMO016股份有限公司,信息技术,2022,年度报告,820,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO016,演示DEMO016股份有限公司,信息技术,2023,年度报告,945,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO016,演示DEMO016股份有限公司,信息技术,2024,年度报告,671,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO017,演示DEMO017股份有限公司,制造业,2020,年度报告,478,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO017,演示DEMO017股份有限公司,制造业,2021,年度报告,388,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO017,演示DEMO017股份有限公司,制造业,2022,年度报告,542,脚本生成演示语料(step0_make_demo_corpus.py)
